V1,V2,V3
-123.821902133693,49.5,162
-123.80494043214,49.5,122
-123.787978730587,49.5,100
-123.771017029034,49.5,37
-123.75405532748,49.5,17
-123.737093625927,49.5,132
-123.720131924374,49.5,202
-123.703170222821,49.5,248
-123.686208521268,49.5,377
-123.669246819715,49.5,497
-123.652285118162,49.5,604
-123.635323416609,49.5,710
-123.618361715056,49.5,788
-123.601400013503,49.5,820
-123.58443831195,49.5,719
-123.567476610397,49.5,771
-123.550514908844,49.5,859
-123.53355320729,49.5,960
-123.516591505737,49.5,694
-123.499629804184,49.5,245
-123.482668102631,49.5,27
-123.465706401078,49.5,1
-123.448744699525,49.5,47
-123.431782997972,49.5,274
-123.414821296419,49.5,493
-123.397859594866,49.5,391
-123.380897893313,49.5,158
-123.36393619176,49.5,157
-123.346974490207,49.5,94
-123.330012788654,49.5,82
-123.313051087101,49.5,1
-123.296089385547,49.5,-1
-123.279127683994,49.5,-24
-123.262165982441,49.5,-1
-123.245204280888,49.5,14
-123.228242579335,49.5,506
-123.211280877782,49.5,959
-123.194319176229,49.5,1411
-123.177357474676,49.5,1316
-123.160395773123,49.5,814
-123.14343407157,49.5,729
-123.126472370017,49.5,508
-123.109510668464,49.5,517
-123.092548966911,49.5,1066
-123.075587265358,49.5,1129
-123.058625563804,49.5,1010
-123.041663862251,49.5,805
-123.024702160698,49.5,772
-123.007740459145,49.5,1013
-122.990778757592,49.5,1241
-122.973817056039,49.5,927
-122.956855354486,49.5,535
-122.939893652933,49.5,333
-122.92293195138,49.5,801
-122.905970249827,49.5,1034
-122.889008548274,49.5,482
-122.872046846721,49.5,122
-122.855085145168,49.5,781
-122.838123443615,49.5,1042
-122.821161742061,49.5,746
-122.804200040508,49.5,1046
-122.787238338955,49.5,689
-122.770276637402,49.5,510
-122.753314935849,49.5,955
-122.736353234296,49.5,750
-122.719391532743,49.5,1170
-122.70242983119,49.5,1409
-122.685468129637,49.5,1458
-122.668506428084,49.5,1276
-122.651544726531,49.5,1163
-122.634583024978,49.5,1035
-122.617621323425,49.5,943
-122.600659621872,49.5,751
-122.583697920318,49.5,218
-122.566736218765,49.5,14
-122.549774517212,49.5,34
-122.532812815659,49.5,178
-122.515851114106,49.5,510
-122.498889412553,49.5,1009
-122.481927711,49.5,1148
-125.518072289,49.4829268292683,1289
-125.501110587447,49.4829268292683,1411
-125.484148885894,49.4829268292683,1493
-125.467187184341,49.4829268292683,1179
-125.450225482788,49.4829268292683,1015
-125.433263781235,49.4829268292683,715
-125.416302079682,49.4829268292683,743
-125.399340378128,49.4829268292683,666
-125.382378676575,49.4829268292683,566
-125.365416975022,49.4829268292683,620
-125.348455273469,49.4829268292683,863
-125.331493571916,49.4829268292683,1143
-125.314531870363,49.4829268292683,957
-125.29757016881,49.4829268292683,614
-125.280608467257,49.4829268292683,772
-125.263646765704,49.4829268292683,978
-125.246685064151,49.4829268292683,879
-125.229723362598,49.4829268292683,832
-125.212761661045,49.4829268292683,711
-125.195799959492,49.4829268292683,591
-125.178838257939,49.4829268292683,492
-125.161876556385,49.4829268292683,533
-125.144914854832,49.4829268292683,444
-125.127953153279,49.4829268292683,354
-125.110991451726,49.4829268292683,360
-125.094029750173,49.4829268292683,359
-125.07706804862,49.4829268292683,423
-125.060106347067,49.4829268292683,597
-125.043144645514,49.4829268292683,641
-125.026182943961,49.4829268292683,1056
-125.009221242408,49.4829268292683,1271
-124.992259540855,49.4829268292683,1253
-124.975297839302,49.4829268292683,1213
-124.958336137749,49.4829268292683,1014
-124.941374436196,49.4829268292683,994
-124.924412734642,49.4829268292683,860
-124.907451033089,49.4829268292683,686
-124.890489331536,49.4829268292683,500
-124.873527629983,49.4829268292683,354
-124.85656592843,49.4829268292683,255
-124.839604226877,49.4829268292683,196
-124.822642525324,49.4829268292683,120
-124.805680823771,49.4829268292683,42
-124.788719122218,49.4829268292683,2
-124.771757420665,49.4829268292683,3
-124.754795719112,49.4829268292683,-1
-124.737834017559,49.4829268292683,1
-124.720872316006,49.4829268292683,0
-124.703910614453,49.4829268292683,-1
-124.686948912899,49.4829268292683,-1
-124.669987211346,49.4829268292683,-4
-124.653025509793,49.4829268292683,-10
-124.63606380824,49.4829268292683,-23
-124.619102106687,49.4829268292683,-45
-124.602140405134,49.4829268292683,-98
-124.585178703581,49.4829268292683,-157
-124.568217002028,49.4829268292683,-187
-124.551255300475,49.4829268292683,-207
-124.534293598922,49.4829268292683,-219
-124.517331897369,49.4829268292683,-231
-124.500370195816,49.4829268292683,-245
-124.483408494263,49.4829268292683,-263
-124.46644679271,49.4829268292683,-283
-124.449485091156,49.4829268292683,-306
-124.432523389603,49.4829268292683,-320
-124.41556168805,49.4829268292683,-312
-124.398599986497,49.4829268292683,-262
-124.381638284944,49.4829268292683,-177
-124.364676583391,49.4829268292683,-48
-124.347714881838,49.4829268292683,-18
-124.330753180285,49.4829268292683,4
-124.313791478732,49.4829268292683,76
-124.296829777179,49.4829268292683,148
-124.279868075626,49.4829268292683,136
-124.262906374073,49.4829268292683,90
-124.24594467252,49.4829268292683,74
-124.228982970966,49.4829268292683,66
-124.212021269413,49.4829268292683,96
-124.19505956786,49.4829268292683,104
-124.178097866307,49.4829268292683,66
-124.161136164754,49.4829268292683,-22
-124.144174463201,49.4829268292683,-87
-124.127212761648,49.4829268292683,-117
-124.110251060095,49.4829268292683,-182
-124.093289358542,49.4829268292683,-202
-124.076327656989,49.4829268292683,-205
-124.059365955436,49.4829268292683,-212
-124.042404253883,49.4829268292683,-225
-124.02544255233,49.4829268292683,-237
-124.008480850777,49.4829268292683,-226
-123.991519149223,49.4829268292683,-25
-123.97455744767,49.4829268292683,30
-123.957595746117,49.4829268292683,-23
-123.940634044564,49.4829268292683,-31
-123.923672343011,49.4829268292683,-4
-123.906710641458,49.4829268292683,-19
-123.889748939905,49.4829268292683,-5
-123.872787238352,49.4829268292683,7
-123.855825536799,49.4829268292683,-5
-123.838863835246,49.4829268292683,3
-123.821902133693,49.4829268292683,11
-123.80494043214,49.4829268292683,42
-123.787978730587,49.4829268292683,38
-123.771017029034,49.4829268292683,2
-123.75405532748,49.4829268292683,1
-123.737093625927,49.4829268292683,89
-123.720131924374,49.4829268292683,143
-123.703170222821,49.4829268292683,179
-123.686208521268,49.4829268292683,301
-123.669246819715,49.4829268292683,371
-123.652285118162,49.4829268292683,407
-123.635323416609,49.4829268292683,479
-123.618361715056,49.4829268292683,567
-123.601400013503,49.4829268292683,636
-123.58443831195,49.4829268292683,700
-123.567476610397,49.4829268292683,1022
-123.550514908844,49.4829268292683,951
-123.53355320729,49.4829268292683,991
-123.516591505737,49.4829268292683,666
-123.499629804184,49.4829268292683,228
-123.482668102631,49.4829268292683,15
-123.465706401078,49.4829268292683,-1
